"rNames.tag","s.area","s.perimeter","s.radius.sd","s.radius.min","h.asm.s1","h.cor.s1","h.var.s2","h.sen.s2","h.dva.s2","m.eccentricity","m.theta","b.mad","b.q005"
"bspp",18614,510,2.48007620343106,71.3528766521431,0.100575672651306,0.838826190448868,3.01356839394979,1.00403031509032,1.06903754191172,0.352183279553326,-1.09901204942882,0.0406988235294118,0.356862745098039
"snep",75772,1043,7.4052201261514,136.604191244942,0.0495273207104986,0.849876602026768,6.88390910529664,1.20886901893135,3.85976382680632,0.192950016399302,-0.011630283589555,0.0697694117647058,0.396078431372549
"bspp",47212,825,3.44701822546211,114.544493168965,0.0860243395038064,0.912910972769612,4.0353084068301,1.0857504499627,0.863608050346887,0.357558594137509,-1.3142140575897,0.0523270588235294,0.294117647058824
"iacu",24835,1329,16.4095230457536,65.8465501222982,0.0587262874276173,0.831098368790743,7.3558317271485,1.2159363353879,4.6371640407785,0.393313438704583,-1.08252440615268,0.0523270588235294,0.415686274509804
"bspp",26187,562,3.87020813989273,81.8908386375901,0.0950286914181731,0.861519946530368,3.57426751852198,1.05228221090133,1.24094280278026,0.441315437410183,0.244407293352774,0.0406988235294118,0.262745098039216
"iacu",45403,1781,18.6261004416315,79.5653368985048,0.0574422168010846,0.770880930261229,5.62599026990529,1.14036543927357,4.59505089983639,0.514393444494149,-0.505264469063426,0.0465129411764706,0.443137254901961
"bspp",26187,562,3.87020813989273,81.8908386375901,0.0950286914181731,0.861519946530368,3.57426751852198,1.05228221090133,1.24094280278026,0.441315437410182,0.244407293352766,0.0406988235294118,0.262745098039216
"iacu",36305,1384,17.9864544797188,70.052943495106,0.0629124113047025,0.745136806506338,4.57376820782058,1.07688754125703,4.06338008216461,0.648618135935527,0.345634342765193,0.0406988235294118,0.501960784313725
"bspp",49079,1081,28.3328079233126,59.506804825858,0.120916210082276,0.867909304411322,3.14040229916644,0.993020949784053,0.919897980342554,0.650021867829074,0.774106727711715,0.0348847058823529,0.27843137254902
"iacu",36305,1384,17.9864544797188,70.052943495106,0.0629124113047025,0.745136806506338,4.57376820782058,1.07688754125703,4.06338008216461,0.648618135935526,0.345634342765192,0.0406988235294118,0.501960784313725
"iaca",40362,1292,23.1366955938191,58.3292083561952,0.0388430651543411,0.835393674097504,7.88111308360918,1.23827057512722,4.82974783094018,0.734189050139493,-1.18495962656274,0.063955294117647,0.392156862745098
"bspp",23578,634,6.99991253352161,65.7588131116729,0.0422489056477964,0.895868276866811,6.87094540743638,1.23433468866829,2.24624924117596,0.394815883810255,1.49314658871646,0.0930258823529412,0.36078431372549
"sppa",23762,2979,39.546028617222,13.8834543106745,0.0532284781908033,0.807847820003997,5.04005536320235,1.16058453208994,2.77831439393939,0.747259147098987,1.138647255482,0.0523270588235294,0.498039215686275
"iacu",31321,1051,12.5375853248012,63.0533936236959,0.041029184780133,0.788709884631174,6.32771125122268,1.18435296331184,4.70949153652228,0.590408009753288,-0.526236933364643,0.0581411764705882,0.431372549019608
"bspp",20353,520,11.3360044880032,57.491745870127,0.0533233994047564,0.878441317788495,5.93220771417153,1.18308255156717,2.17507775659677,0.717915271835028,-0.475399707579025,0.063955294117647,0.231372549019608
"iacu",20407,973,10.6821867378785,64.9940271935994,0.0441662325560351,0.780564168932815,5.59833330522186,1.16413469892544,3.9726349109103,0.43815025298272,1.50764009975179,0.0581411764705882,0.419607843137255
"bspp",32100,700,10.217437890501,80.5575986737541,0.049547796632685,0.860525821185429,5.26553927274311,1.18836051423201,2.10042105929655,0.576761219890088,-0.0734482912530301,0.0581411764705882,0.243137254901961
"iacu",22549,849,11.4395533227588,66.5241900160126,0.0366283665611781,0.846144835731073,7.67448324463327,1.24889783000429,4.16036959107127,0.527617244079401,-1.38256360695942,0.0697694117647058,0.380392156862745
"bspp",80828,1079,15.7067620352585,111.485191551068,0.181646227311773,0.84499226675038,2.35484637967492,0.844073061684609,0.597926281690493,0.561566343710484,-0.982705180418628,0.0232564705882353,0.211764705882353
